 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
295,0.119,1.720,0.605,226,2065,109.290,0.343
296,4.069,7.959,2.544,1058,2109,1.287,2.275
297,0.113,1.541,0.589,194,2087,157.166,0.356
298,8.490,16.350,4.653,1273,2231,57.286,2.892
299,0.172,1.865,0.729,189,2094,138.180,0.385
300,0.080,1.474,0.579,736,2096,110.225,0.273
301,0.108,2.559,0.912,741,2097,147.804,0.294
302,3.531,9.080,2.720,646,2100,99.067,1.854
303,1.830,5.211,1.715,89,2127,150.018,1.368
304,8.778,18.321,5.173,312,2292,73.968,3.009
305,11.426,15.390,5.469,197,2289,56.725,2.898
306,1.556,5.007,1.618,1410,2147,125.655,1.343
307,0.095,1.198,0.452,1535,2161,124.695,0.303
308,0.269,3.370,1.074,601,2163,115.201,0.444
309,0.091,1.151,0.398,482,2182,68.962,0.343
310,0.150,1.646,0.629,555,2175,140.528,0.404
311,0.109,1.484,0.552,143,2178,158.749,0.314
312,10.036,12.614,4.257,41,2221,154.983,3.107
313,1.822,5.350,1.702,382,2293,49.086,1.455
314,13.386,15.850,4.794,1682,2350,28.093,4.129
315,11.424,17.964,5.363,689,2323,7.655,3.177
316,0.123,1.663,0.710,1223,2254,130.101,0.291
317,2.787,6.508,2.151,996,2262,120.311,1.732
318,9.938,13.839,4.098,1097,2261,94.399,3.561
319,0.178,2.277,0.973,1930,2267,93.366,0.257
320,7.555,13.474,4.130,812,2457,55.430,2.433
321,6.052,9.658,3.194,414,2361,123.690,2.484
322,0.089,1.208,0.469,974,2359,127.569,0.317
323,5.053,9.018,2.961,148,2409,157.891,2.376
324,1.152,6.115,1.965,1729,2412,139.128,1.137
325,0.226,2.423,0.805,961,2406,117.474,0.543
326,1.549,4.998,1.613,1058,2473,119.745,1.360
327,0.202,1.858,0.754,1506,2558,127.304,0.415
328,3.545,7.464,2.595,466,2820,64.564,1.963
329,4.090,8.315,2.891,54,3080,93.400,2.000
