 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
270,0.202,2.013,0.708,1134,594,132.510,0.522
271,0.059,0.851,0.331,895,599,156.801,0.261
272,0.363,3.002,1.059,1179,624,70.821,0.599
273,0.182,1.691,0.627,2065,603,123.690,0.440
274,0.011,0.395,0.179,1475,604,165.964,0.087
275,0.019,0.456,0.217,1298,605,143.130,0.130
276,0.019,0.456,0.217,1104,613,36.870,0.130
277,0.055,0.815,0.340,1771,616,39.806,0.246
278,0.057,0.876,0.331,1734,613,156.801,0.261
279,0.085,1.061,0.428,708,622,23.962,0.304
280,0.011,0.420,0.195,769,620,26.565,0.087
281,0.028,0.579,0.254,1456,622,120.964,0.174
282,1.702,8.856,2.236,943,657,37.093,1.876
283,0.068,0.999,0.374,2197,624,125.538,0.303
284,0.017,0.456,0.217,833,629,36.870,0.130
285,0.025,0.579,0.246,1728,631,45.000,0.174
286,0.044,0.840,0.389,1733,627,153.435,0.172
287,0.011,0.333,0.157,2077,629,146.310,0.087
288,0.064,0.963,0.389,1946,635,26.565,0.261
289,0.091,1.173,0.486,2215,632,169.695,0.261
290,0.011,0.492,0.246,1032,635,135.000,0.092
291,0.023,0.543,0.234,2188,635,111.801,0.130
292,0.049,0.815,0.317,984,641,164.055,0.217
293,0.011,0.333,0.157,1016,641,146.310,0.087
294,1.774,7.505,1.948,1720,681,60.573,1.527
295,0.176,2.024,0.771,1218,648,16.390,0.360
296,0.149,1.419,0.531,1819,643,124.992,0.431
297,1.101,4.338,1.572,1519,659,14.421,0.994
298,0.011,0.333,0.157,1774,645,146.310,0.087
299,0.045,0.753,0.292,1515,646,116.565,0.217
300,0.280,2.259,0.798,2262,647,119.358,0.541
301,0.096,1.173,0.486,2130,652,153.435,0.304
302,0.015,0.456,0.195,2186,659,116.565,0.130
303,0.953,4.677,1.538,1304,672,151.260,1.000
304,0.134,1.532,0.610,1358,661,94.086,0.348
305,0.036,0.702,0.275,768,665,108.435,0.215
306,0.028,0.974,0.470,1065,665,146.310,0.133
307,0.823,5.030,1.852,715,681,9.462,0.765
308,0.435,3.504,1.238,1220,693,71.565,0.554
309,0.148,1.532,0.606,2082,674,21.038,0.391
310,0.030,0.605,0.254,2294,667,149.036,0.174
311,0.628,3.468,1.252,1131,683,20.323,0.839
312,0.034,0.692,0.254,1188,671,120.964,0.217
313,0.316,2.408,0.908,991,692,73.301,0.541
314,0.059,0.876,0.331,1786,677,23.199,0.261
315,0.032,0.655,0.292,292,676,26.565,0.130
316,0.537,3.038,1.197,937,699,70.907,0.665
317,2.964,8.256,2.762,200,715,33.440,1.870
318,0.068,1.050,0.413,1602,674,108.435,0.217
319,0.229,1.926,0.760,1387,675,113.629,0.460
320,0.087,1.061,0.389,1058,678,153.435,0.338
321,0.129,1.491,0.652,1867,678,143.130,0.301
322,0.013,0.369,0.185,1751,678,135.000,0.123
323,0.125,1.506,0.592,2303,680,143.973,0.369
324,0.021,0.554,0.234,801,685,21.801,0.174
325,0.044,0.779,0.351,2048,690,60.255,0.174
326,0.297,2.321,0.914,650,688,154.654,0.522
327,0.034,0.666,0.278,1309,686,128.660,0.214
328,0.089,1.137,0.496,303,688,164.745,0.217
329,1.330,5.823,1.817,771,720,42.089,1.291
330,0.059,0.876,0.351,276,695,60.255,0.261
331,0.250,1.901,0.744,1678,696,173.290,0.478
332,0.083,1.061,0.413,2237,691,161.565,0.304
333,0.017,0.456,0.195,1107,693,26.565,0.130
334,0.044,0.764,0.314,2038,693,123.690,0.215
335,0.032,0.630,0.278,1960,695,141.340,0.174
336,0.062,1.133,0.410,1929,713,57.995,0.277
337,0.028,0.569,0.246,718,707,135.000,0.174
338,6.704,16.964,4.184,694,716,133.315,2.843
339,0.025,0.579,0.234,1718,709,158.199,0.174
340,0.017,0.456,0.195,2231,716,153.435,0.130
341,0.301,2.223,0.858,1613,719,120.466,0.557
342,0.059,0.912,0.389,784,728,26.565,0.253
343,0.025,0.518,0.217,1705,731,126.870,0.174
344,0.034,0.641,0.254,933,737,30.964,0.214
345,0.081,1.075,0.435,887,737,126.870,0.283
346,0.021,0.482,0.217,1689,739,126.870,0.130
347,0.127,1.532,0.606,2199,745,21.038,0.358
348,0.057,0.876,0.351,1212,747,60.255,0.261
349,2.499,9.357,3.291,1386,742,134.465,1.435
350,3.749,10.788,3.016,643,802,42.663,2.071
351,0.040,0.692,0.292,1225,745,153.435,0.174
352,0.420,2.603,0.955,1917,745,120.069,0.632
353,0.475,3.150,1.273,1195,775,82.147,0.565
354,0.325,2.126,0.724,1951,757,32.735,0.652
355,0.115,1.235,0.486,2230,748,153.435,0.348
356,0.023,0.518,0.217,1660,747,126.870,0.174
357,0.034,0.641,0.254,2259,751,30.964,0.215
358,1.109,5.000,1.569,2177,752,133.877,1.218
359,0.216,1.792,0.675,1330,768,75.069,0.435
360,0.023,0.518,0.217,956,754,126.870,0.174
361,0.028,0.605,0.254,1137,758,149.036,0.174
362,0.102,1.122,0.428,2103,766,23.962,0.348
363,0.021,0.543,0.234,706,766,21.801,0.130
364,0.045,0.753,0.314,1664,767,123.690,0.217
365,0.030,0.630,0.292,582,768,153.435,0.130
366,0.040,0.728,0.314,1284,774,123.690,0.214
367,0.070,1.061,0.462,937,782,41.186,0.238
368,1.377,5.305,1.906,1832,779,152.850,1.148
369,1.390,5.757,1.911,2149,796,11.821,1.203
370,0.216,1.901,0.771,1514,780,163.610,0.433
371,0.074,0.999,0.372,1040,780,159.444,0.304
372,0.197,1.665,0.647,2133,786,19.654,0.435
373,0.104,1.245,0.444,2238,782,168.690,0.370
374,0.168,1.578,0.606,695,781,111.038,0.455
375,1.413,5.240,1.878,354,789,166.608,1.087
376,0.030,0.630,0.254,983,783,120.964,0.174
377,0.206,1.843,0.741,2302,791,130.236,0.485
378,0.066,0.938,0.389,2046,793,153.435,0.253
379,0.055,0.851,0.331,2206,796,156.801,0.261
380,0.062,0.989,0.448,678,801,29.055,0.217
381,0.023,0.543,0.234,211,802,21.801,0.130
382,0.110,1.199,0.486,1061,801,153.435,0.304
383,0.057,0.840,0.351,51,806,29.745,0.217
384,0.199,1.706,0.592,274,804,126.027,0.478
385,1.039,4.994,1.599,700,839,67.620,1.113
386,0.235,1.926,0.665,964,812,168.690,0.523
387,0.115,1.271,0.496,2020,809,142.125,0.360
