 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
192,0.428,3.012,1.201,1142,1898,14.931,0.573
193,0.153,1.759,0.612,20,1897,124.695,0.503
194,0.136,1.340,0.468,975,1902,114.444,0.426
195,0.064,1.053,0.381,918,1907,156.038,0.271
196,0.322,2.776,0.849,599,1925,30.069,0.728
197,0.117,1.517,0.575,6,1926,70.346,0.387
198,0.136,1.923,0.644,126,1928,57.265,0.472
199,0.094,1.385,0.489,5,1928,108.435,0.328
200,0.582,3.350,1.184,73,1946,11.310,0.848
201,0.115,1.800,0.689,326,1935,128.157,0.328
202,0.118,1.317,0.453,620,1952,160.017,0.387
203,0.246,2.097,0.713,696,1966,12.529,0.569
204,0.063,1.030,0.395,1089,1971,168.690,0.232
205,0.085,1.053,0.398,887,1976,150.945,0.322
206,0.144,2.170,0.661,248,1986,20.556,0.467
207,0.228,2.442,0.805,434,1996,54.782,0.615
208,0.075,1.153,0.433,554,1991,26.565,0.318
209,0.102,1.427,0.509,10,1989,98.746,0.329
210,0.067,1.130,0.398,335,1997,150.945,0.338
211,0.127,1.495,0.550,412,2011,50.711,0.386
212,0.132,2.238,0.730,154,2012,32.005,0.433
213,0.117,1.591,0.539,142,2016,68.962,0.397
214,0.096,1.308,0.505,285,2013,147.529,0.294
215,0.109,2.342,0.979,212,2016,161.565,0.253
216,0.320,3.363,1.170,273,2020,145.784,0.503
217,0.070,1.491,0.503,242,2026,22.620,0.329
218,0.069,1.185,0.411,424,2021,138.814,0.339
219,0.075,1.363,0.503,299,2029,22.620,0.269
220,0.106,2.042,0.698,769,2038,33.690,0.303
221,0.560,5.688,1.316,800,2037,155.695,0.995
222,0.070,0.989,0.387,1022,2043,126.870,0.310
223,0.090,1.559,0.591,75,2066,58.392,0.294
224,0.115,1.604,0.640,96,2061,154.983,0.365
225,0.064,1.208,0.479,47,2081,75.964,0.223
226,0.061,1.208,0.419,66,2086,56.310,0.294
227,0.518,3.778,1.075,529,2097,30.256,0.911
228,0.133,1.910,0.711,403,2096,45.000,0.338
229,0.508,4.858,1.565,37,2101,8.531,0.735
230,0.072,1.385,0.554,1164,2092,167.905,0.232
231,0.064,0.944,0.381,82,2095,156.038,0.271
232,0.093,1.144,0.451,870,2103,149.036,0.300
233,0.072,1.076,0.433,826,2106,169.695,0.269
234,0.337,3.627,1.253,1151,2103,98.881,0.507
235,0.380,2.844,0.859,842,2107,97.765,0.708
236,0.214,2.425,0.849,539,2126,43.152,0.547
237,0.066,1.198,0.489,15,2117,18.435,0.219
238,0.132,1.459,0.591,1119,2114,121.608,0.356
239,0.247,2.065,0.713,429,2117,139.399,0.502
240,0.097,1.198,0.466,876,2117,138.366,0.343
241,0.114,1.946,0.706,923,2121,170.538,0.271
242,0.118,1.372,0.489,333,2127,108.435,0.367
243,0.428,3.633,1.065,658,2139,160.907,0.820
244,0.141,2.680,0.763,947,2134,149.534,0.443
245,0.087,1.276,0.526,651,2136,17.103,0.232
246,0.076,1.276,0.516,1134,2132,167.005,0.220
247,0.063,1.044,0.433,850,2141,153.435,0.232
248,0.064,1.121,0.411,621,2152,48.814,0.305
249,0.171,1.604,0.571,881,2155,28.301,0.463
250,0.079,1.153,0.395,1133,2148,168.690,0.310
251,0.078,1.459,0.575,320,2168,70.346,0.258
252,0.090,1.691,0.649,139,2166,162.646,0.267
